glucose_i,glucose_s,J_GLUT
0.011,0.01,0.0315917
0.011,0.01,0.0315917
0.011,0.01,0.0315917
0.011,0.01,0.0315917
0.011,0.01,0.0315917
0.011,0.01,0.0315917
0.011,0.01,0.0315917
0.011,0.01,0.0315917
0.011,0.01,0.0315917
0.011,0.01,0.0315917
0.011,0.01,0.0315917
0.011,0.01,0.0315917
0.011,0.01,0.0315917
0.011,0.01,0.0315917
0.011,0.01,0.0315917
0.011,0.01,0.0315917
0.011,0.01,0.0315917
0.011,0.01,0.0315917
0.011,0.01,0.0315917
0.011,0.01,0.0315917
0.011,0.01,0.0315917
0.011,0.01,0.0315917
0.011,0.01,0.0315917
0.011,0.01,0.0315917
0.011,0.01,0.0315917
0.011,0.01,0.0315917
0.011,0.01,0.0315917
0.011,0.01,0.0315917
0.011,0.01,0.0315917
0.011,0.01,0.0315917
0.011,0.01,0.0315917
0.011,0.01,0.0315917
0.011,0.01,0.0315917
0.011,0.01,0.0315917
0.011,0.01,0.0315917
0.011,0.01,0.0315917
0.011,0.01,0.0315917
0.011,0.01,0.0315917
0.011,0.01,0.0315917
0.011,0.01,0.0315917
0.011,0.01,0.0315917
0.011,0.01,0.0315917
0.011,0.01,0.0315917
0.011,0.01,0.0315917
0.011,0.01,0.0315917
0.011,0.01,0.0315917
0.011,0.01,0.0315917
0.011,0.01,0.0315917
0.011,0.01,0.0315917
0.011,0.01,0.0315917
0.011,0.01,0.0315917
0.011,0.01,0.0315917
0.011,0.01,0.0315917
0.011,0.01,0.0315917
0.011,0.01,0.0315917
0.011,0.01,0.0315917
0.011,0.01,0.0315917
0.011,0.01,0.0315917
0.011,0.01,0.0315917
0.011,0.01,0.0315917
0.011,0.01,0.0315917
0.011,0.01,0.0315917
0.011,0.01,0.0315917
0.011,0.01,0.0315917
0.011,0.01,0.0315917
0.011,0.01,0.0315917
0.011,0.01,0.0315917
0.011,0.01,0.0315917
0.011,0.01,0.0315917
0.011,0.01,0.0315917
0.011,0.01,0.0315917
0.011,0.01,0.0315917
0.011,0.01,0.0315917
0.011,0.01,0.0315917
0.011,0.01,0.0315917
0.011,0.01,0.0315917
0.011,0.01,0.0315917
0.011,0.01,0.0315917
0.011,0.01,0.0315917
0.011,0.01,0.0315917
0.011,0.01,0.0315917
0.011,0.01,0.0315917
0.011,0.01,0.0315917
0.011,0.01,0.0315917
0.011,0.01,0.0315917
0.011,0.01,0.0315917
0.011,0.01,0.0315917
0.011,0.01,0.0315917
0.011,0.01,0.0315917
0.011,0.01,0.0315917
0.011,0.01,0.0315917
0.011,0.01,0.0315917
0.011,0.01,0.0315917
0.011,0.01,0.0315917
0.011,0.01,0.0315917
0.011,0.01,0.0315917
0.011,0.01,0.0315917
0.011,0.01,0.0315917
0.011,0.01,0.0315917
0.011,0.01,0.0315917
0.011,0.01,0.0315917
0.011,0.01,0.0315917
0.011,0.01,0.0315917
0.011,0.01,0.0315917
0.011,0.01,0.0315917
0.011,0.01,0.0315917
0.011,0.01,0.0315917
0.011,0.01,0.0315917
0.011,0.01,0.0315917
0.011,0.01,0.0315917
