GLUT2 | t (second),GLUT2 | C_tot (umol),GLUT2 | D (per_second),GLUT2 | glucose_i (M),GLUT2 | glucose_s (M),GLUT2 | J_GLUT (umol_per_s),GLUT2 | K_12 (per_M_per_second),GLUT2 | K_14 (per_second),GLUT2 | K_14' (per_second/second),GLUT2 | K_21 (per_second),GLUT2 | K_23 (per_second),GLUT2 | K_32 (per_second),GLUT2 | K_34 (per_second),GLUT2 | K_41 (per_second),GLUT2 | K_43 (per_M_per_second),GLUT2 | K_S (M),GLUT2 | n_GLUT (dimensionless),GLUT2 | v_cell (m3)
0,2.32481e-10,2270.75,0.011,0.01,0.0315917,1000,12,0,12.6,1350,90,12.6,0.8,1000,0.0126,1.4e+08,6e-16
0.01,2.32481e-10,2270.75,0.011,0.01,0.0315917,1000,12,0,12.6,1350,90,12.6,0.8,1000,0.0126,1.4e+08,6e-16
0.02,2.32481e-10,2270.75,0.011,0.01,0.0315917,1000,12,0,12.6,1350,90,12.6,0.8,1000,0.0126,1.4e+08,6e-16
0.03,2.32481e-10,2270.75,0.011,0.01,0.0315917,1000,12,0,12.6,1350,90,12.6,0.8,1000,0.0126,1.4e+08,6e-16
0.04,2.32481e-10,2270.75,0.011,0.01,0.0315917,1000,12,0,12.6,1350,90,12.6,0.8,1000,0.0126,1.4e+08,6e-16
0.05,2.32481e-10,2270.75,0.011,0.01,0.0315917,1000,12,0,12.6,1350,90,12.6,0.8,1000,0.0126,1.4e+08,6e-16
0.06,2.32481e-10,2270.75,0.011,0.01,0.0315917,1000,12,0,12.6,1350,90,12.6,0.8,1000,0.0126,1.4e+08,6e-16
0.07,2.32481e-10,2270.75,0.011,0.01,0.0315917,1000,12,0,12.6,1350,90,12.6,0.8,1000,0.0126,1.4e+08,6e-16
0.08,2.32481e-10,2270.75,0.011,0.01,0.0315917,1000,12,0,12.6,1350,90,12.6,0.8,1000,0.0126,1.4e+08,6e-16
0.09,2.32481e-10,2270.75,0.011,0.01,0.0315917,1000,12,0,12.6,1350,90,12.6,0.8,1000,0.0126,1.4e+08,6e-16
0.1,2.32481e-10,2270.75,0.011,0.01,0.0315917,1000,12,0,12.6,1350,90,12.6,0.8,1000,0.0126,1.4e+08,6e-16
0.11,2.32481e-10,2270.75,0.011,0.01,0.0315917,1000,12,0,12.6,1350,90,12.6,0.8,1000,0.0126,1.4e+08,6e-16
0.12,2.32481e-10,2270.75,0.011,0.01,0.0315917,1000,12,0,12.6,1350,90,12.6,0.8,1000,0.0126,1.4e+08,6e-16
0.13,2.32481e-10,2270.75,0.011,0.01,0.0315917,1000,12,0,12.6,1350,90,12.6,0.8,1000,0.0126,1.4e+08,6e-16
0.14,2.32481e-10,2270.75,0.011,0.01,0.0315917,1000,12,0,12.6,1350,90,12.6,0.8,1000,0.0126,1.4e+08,6e-16
0.15,2.32481e-10,2270.75,0.011,0.01,0.0315917,1000,12,0,12.6,1350,90,12.6,0.8,1000,0.0126,1.4e+08,6e-16
0.16,2.32481e-10,2270.75,0.011,0.01,0.0315917,1000,12,0,12.6,1350,90,12.6,0.8,1000,0.0126,1.4e+08,6e-16
0.17,2.32481e-10,2270.75,0.011,0.01,0.0315917,1000,12,0,12.6,1350,90,12.6,0.8,1000,0.0126,1.4e+08,6e-16
0.18,2.32481e-10,2270.75,0.011,0.01,0.0315917,1000,12,0,12.6,1350,90,12.6,0.8,1000,0.0126,1.4e+08,6e-16
0.19,2.32481e-10,2270.75,0.011,0.01,0.0315917,1000,12,0,12.6,1350,90,12.6,0.8,1000,0.0126,1.4e+08,6e-16
0.2,2.32481e-10,2270.75,0.011,0.01,0.0315917,1000,12,0,12.6,1350,90,12.6,0.8,1000,0.0126,1.4e+08,6e-16
0.21,2.32481e-10,2270.75,0.011,0.01,0.0315917,1000,12,0,12.6,1350,90,12.6,0.8,1000,0.0126,1.4e+08,6e-16
0.22,2.32481e-10,2270.75,0.011,0.01,0.0315917,1000,12,0,12.6,1350,90,12.6,0.8,1000,0.0126,1.4e+08,6e-16
0.23,2.32481e-10,2270.75,0.011,0.01,0.0315917,1000,12,0,12.6,1350,90,12.6,0.8,1000,0.0126,1.4e+08,6e-16
0.24,2.32481e-10,2270.75,0.011,0.01,0.0315917,1000,12,0,12.6,1350,90,12.6,0.8,1000,0.0126,1.4e+08,6e-16
0.25,2.32481e-10,2270.75,0.011,0.01,0.0315917,1000,12,0,12.6,1350,90,12.6,0.8,1000,0.0126,1.4e+08,6e-16
0.26,2.32481e-10,2270.75,0.011,0.01,0.0315917,1000,12,0,12.6,1350,90,12.6,0.8,1000,0.0126,1.4e+08,6e-16
0.27,2.32481e-10,2270.75,0.011,0.01,0.0315917,1000,12,0,12.6,1350,90,12.6,0.8,1000,0.0126,1.4e+08,6e-16
0.28,2.32481e-10,2270.75,0.011,0.01,0.0315917,1000,12,0,12.6,1350,90,12.6,0.8,1000,0.0126,1.4e+08,6e-16
0.29,2.32481e-10,2270.75,0.011,0.01,0.0315917,1000,12,0,12.6,1350,90,12.6,0.8,1000,0.0126,1.4e+08,6e-16
0.3,2.32481e-10,2270.75,0.011,0.01,0.0315917,1000,12,0,12.6,1350,90,12.6,0.8,1000,0.0126,1.4e+08,6e-16
0.31,2.32481e-10,2270.75,0.011,0.01,0.0315917,1000,12,0,12.6,1350,90,12.6,0.8,1000,0.0126,1.4e+08,6e-16
0.32,2.32481e-10,2270.75,0.011,0.01,0.0315917,1000,12,0,12.6,1350,90,12.6,0.8,1000,0.0126,1.4e+08,6e-16
0.33,2.32481e-10,2270.75,0.011,0.01,0.0315917,1000,12,0,12.6,1350,90,12.6,0.8,1000,0.0126,1.4e+08,6e-16
0.34,2.32481e-10,2270.75,0.011,0.01,0.0315917,1000,12,0,12.6,1350,90,12.6,0.8,1000,0.0126,1.4e+08,6e-16
0.35,2.32481e-10,2270.75,0.011,0.01,0.0315917,1000,12,0,12.6,1350,90,12.6,0.8,1000,0.0126,1.4e+08,6e-16
0.36,2.32481e-10,2270.75,0.011,0.01,0.0315917,1000,12,0,12.6,1350,90,12.6,0.8,1000,0.0126,1.4e+08,6e-16
0.37,2.32481e-10,2270.75,0.011,0.01,0.0315917,1000,12,0,12.6,1350,90,12.6,0.8,1000,0.0126,1.4e+08,6e-16
0.38,2.32481e-10,2270.75,0.011,0.01,0.0315917,1000,12,0,12.6,1350,90,12.6,0.8,1000,0.0126,1.4e+08,6e-16
0.39,2.32481e-10,2270.75,0.011,0.01,0.0315917,1000,12,0,12.6,1350,90,12.6,0.8,1000,0.0126,1.4e+08,6e-16
0.4,2.32481e-10,2270.75,0.011,0.01,0.0315917,1000,12,0,12.6,1350,90,12.6,0.8,1000,0.0126,1.4e+08,6e-16
0.41,2.32481e-10,2270.75,0.011,0.01,0.0315917,1000,12,0,12.6,1350,90,12.6,0.8,1000,0.0126,1.4e+08,6e-16
0.42,2.32481e-10,2270.75,0.011,0.01,0.0315917,1000,12,0,12.6,1350,90,12.6,0.8,1000,0.0126,1.4e+08,6e-16
0.43,2.32481e-10,2270.75,0.011,0.01,0.0315917,1000,12,0,12.6,1350,90,12.6,0.8,1000,0.0126,1.4e+08,6e-16
0.44,2.32481e-10,2270.75,0.011,0.01,0.0315917,1000,12,0,12.6,1350,90,12.6,0.8,1000,0.0126,1.4e+08,6e-16
0.45,2.32481e-10,2270.75,0.011,0.01,0.0315917,1000,12,0,12.6,1350,90,12.6,0.8,1000,0.0126,1.4e+08,6e-16
0.46,2.32481e-10,2270.75,0.011,0.01,0.0315917,1000,12,0,12.6,1350,90,12.6,0.8,1000,0.0126,1.4e+08,6e-16
0.47,2.32481e-10,2270.75,0.011,0.01,0.0315917,1000,12,0,12.6,1350,90,12.6,0.8,1000,0.0126,1.4e+08,6e-16
0.48,2.32481e-10,2270.75,0.011,0.01,0.0315917,1000,12,0,12.6,1350,90,12.6,0.8,1000,0.0126,1.4e+08,6e-16
0.49,2.32481e-10,2270.75,0.011,0.01,0.0315917,1000,12,0,12.6,1350,90,12.6,0.8,1000,0.0126,1.4e+08,6e-16
